Dataset,NN,GRAIL exact classification precision,GRAIL exact precision,GRAIL exact time,PQ classification precision,PQ precision,PQ time,OPQ (64) classification precision,OPQ (64) precision,OPQ (64) time,OPQ (128) classification precision,OPQ (128) precision,OPQ (128) time,TRAIN_size,TEST_size
UWaveGestureLibraryX,3,0.754048018,0.638190955,37.11636281,0.689000558,0.344686395,2.669883728,0.716638749,0.334636144,2.776162386,0.738972641,0.471524288,4.766698599,896,3582
UWaveGestureLibraryX,5,0.756002233,0.664768286,37.60747814,0.689279732,0.39078727,2.714265108,0.718592965,0.402065885,3.78559804,0.742322725,0.526968174,5.528480291,896,3582
UWaveGestureLibraryX,10,0.750697934,0.699664992,37.62138224,0.692350642,0.45773311,2.798288822,0.722501396,0.496538247,3.223239899,0.745393635,0.601982133,4.201306581,896,3582
UWaveGestureLibraryY,1,0.653545505,0.656058068,37.45185685,0.593802345,0.290061418,2.544451952,0.574818537,0.251256281,8.46617794,0.626186488,0.38972641,13.07312369,896,3582
UWaveGestureLibraryY,3,0.655499721,0.699888331,37.32827044,0.593523171,0.372975991,2.695382833,0.601619207,0.370184255,10.44329882,0.639307649,0.498976363,7.644789934,896,3582
UWaveGestureLibraryY,5,0.661362367,0.722445561,38.74819303,0.611111111,0.411501954,2.774336576,0.622278057,0.441150195,4.14025116,0.652149637,0.548632049,11.94614625,896,3582
UWaveGestureLibraryY,10,0.664991625,0.747375768,37.86820388,0.609156896,0.464098269,2.802783012,0.636795087,0.522613065,10.77760553,0.653545505,0.618983808,14.15175748,896,3582
UWaveGestureLibraryZ,1,0.67001675,0.598548297,37.60539675,0.630374093,0.267169179,2.520308733,0.620882189,0.227526521,11.98268914,0.644891122,0.367392518,13.79415464,896,3582
UWaveGestureLibraryZ,3,0.676158571,0.646473106,37.44404387,0.635120045,0.367113345,2.714319944,0.641820212,0.353526894,11.93096828,0.652149637,0.471524288,8.132755518,896,3582
UWaveGestureLibraryZ,5,0.684254606,0.673925181,38.09168792,0.650753769,0.406811837,2.746121168,0.64852038,0.415633724,12.53903794,0.667225014,0.523338917,13.06419683,896,3582
UWaveGestureLibraryZ,10,0.691792295,0.702735902,38.0204215,0.645728643,0.46599665,2.84148097,0.652428811,0.507286432,13.68238425,0.673646008,0.588609715,14.32642245,896,3582
Wafer,1,0.99513303,0.718851395,71.59737349,0.983939001,0.231667748,4.655359268,0.993186243,0.160609994,5.620127439,0.992699546,0.341985724,18.32930136,1000,6164
Wafer,3,0.996268657,0.774010383,72.23942232,0.99091499,0.381570409,4.995633364,0.993510707,0.292991564,17.33073306,0.992699546,0.492429159,21.5128088,1000,6164
Wafer,5,0.995295263,0.801232966,72.13389778,0.985723556,0.456099935,5.029374123,0.993348475,0.37770928,17.4867444,0.994484101,0.573977936,24.65411234,1000,6164
Wafer,10,0.992212849,0.841791045,72.74620605,0.98247891,0.578569111,5.142428637,0.992375081,0.524253731,24.25353122,0.991888384,0.681700195,24.46620011,1000,6164
Wine,1,0.62962963,1,0.036074877,0.703703704,0.148148148,0.015837908,0.722222222,0.296296296,0.016389608,0.518518519,0.277777778,0.028509855,57,54
Wine,3,0.648148148,1,0.036914825,0.592592593,0.302469136,0.016785622,0.722222222,0.62345679,0.017496347,0.574074074,0.530864198,0.029910564,57,54
Wine,5,0.555555556,0.996296296,0.038125992,0.722222222,0.348148148,0.017194271,0.740740741,0.611111111,0.017860889,0.592592593,0.581481481,0.029886484,57,54
Wine,10,0.611111111,1,0.038861036,0.759259259,0.472222222,0.017805576,0.833333333,0.662962963,0.018555641,0.648148148,0.727777778,0.030507088,57,54
